customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,RegistrationDate,City,State,ZipCode,CustomerSegment,LastContactDate,TotalPayments,TotalPaid,AvgPayment,FailedPayments
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,2022-09-13,San Diego,CA,96044,At Risk,2025-12-06,3,317.42,105.81,1
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,2024-08-02,Bakersfield,CA,90624,Medium Value,2025-12-07,3,250.03,83.34,2
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,2023-05-09,Oakland,CA,94860,New Customer,2025-11-08,3,295.65,98.55,1
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,2024-08-13,Los Angeles,CA,90910,Medium Value,2025-11-11,5,439.42,87.88,0
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,2021-06-01,Oakland,CA,90218,Low Value,2025-10-22,2,178.48,89.24,0
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,2020-04-06,San Diego,CA,96147,New Customer,,4,452.49,113.12,0
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,2021-07-13,Santa Clarita,CA,94022,New Customer,2025-11-12,1,63.51,63.51,1
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,2023-06-10,Santa Clarita,CA,93209,High Value,,4,323.94,80.98,0
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,2021-04-02,Los Angeles,CA,91840,Low Value,2025-10-10,4,378.3,94.58,0
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,2022-08-22,San Diego,CA,90644,Low Value,2025-12-07,2,141.57,70.78,1
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,2020-04-24,Fresno,CA,93393,New Customer,,2,159.02,79.51,0
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,2020-06-11,Anaheim,CA,92094,High Value,,1,106.02,106.02,0
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,2020-02-21,Bakersfield,CA,96186,At Risk,,1,88.78,88.78,0
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,2020-09-11,San Jose,CA,93703,Low Value,2025-10-12,2,268.55,134.28,0
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,2022-01-02,Bakersfield,CA,91271,New Customer,2025-12-20,1,93.67,93.67,0
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,2025-05-25,San Jose,CA,90357,High Value,,3,279.11,93.04,0
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,2022-07-15,San Diego,CA,91742,New Customer,2025-12-21,5,409.33,81.87,3
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,2021-11-19,Santa Clarita,CA,90649,New Customer,2025-10-13,3,281.17,93.72,0
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,2025-06-30,San Diego,CA,90568,Medium Value,2025-11-20,2,84.85,42.42,0
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,2025-06-28,San Francisco,CA,91927,New Customer,,1,62.52,62.52,0
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,2021-11-30,San Jose,CA,92517,New Customer,2025-11-12,3,342.55,114.18,1
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,2025-05-22,Oakland,CA,94589,Medium Value,2025-10-24,1,34.13,34.13,0
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,2025-10-21,Sacramento,CA,91521,High Value,,4,345.89,86.47,2
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,2024-04-05,Santa Clarita,CA,92880,New Customer,,2,171.54,85.77,0
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,2020-06-28,San Diego,CA,90898,Low Value,,1,62.27,62.27,1
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,2024-09-01,San Diego,CA,95239,At Risk,2025-12-28,4,369.79,92.45,0
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,2020-07-20,Fresno,CA,93218,New Customer,2025-12-07,1,62.74,62.74,0
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,2024-01-12,San Diego,CA,92841,High Value,2025-12-23,2,165.27,82.64,1
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,2023-01-14,San Diego,CA,92687,New Customer,2025-12-24,5,466.76,93.35,3
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,2020-02-21,Fresno,CA,92363,High Value,2025-11-23,3,352.95,117.65,0
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,2025-11-08,Anaheim,CA,93164,Medium Value,2025-11-01,1,143.6,143.6,0
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,2020-08-27,Fresno,CA,93870,High Value,,5,421.98,84.4,0
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,2020-08-24,Fresno,CA,90315,Medium Value,,4,381.98,95.5,0
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,2023-04-16,Bakersfield,CA,91751,High Value,2025-10-10,4,329.93,82.48,0
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,2023-07-29,San Diego,CA,90616,High Value,2025-12-17,4,342.93,85.73,1
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,No,2025-04-05,Sacramento,CA,91775,High Value,2025-12-18,3,357.53,119.18,1
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,2024-09-12,Anaheim,CA,93104,At Risk,,4,376.94,94.24,2
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,2024-05-23,Sacramento,CA,93980,Low Value,2025-11-05,2,162.25,81.12,0
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,2020-05-03,Sacramento,CA,92204,Medium Value,2025-12-25,3,306.42,102.14,0
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,2024-07-19,Sacramento,CA,91683,Low Value,2025-10-24,5,598.84,119.77,2
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,2023-10-22,San Francisco,CA,94219,New Customer,2025-10-27,1,21.51,21.51,0
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,2022-02-04,Oakland,CA,90395,At Risk,2025-11-22,5,488.98,97.8,1
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,2024-02-28,San Francisco,CA,93518,Medium Value,2025-11-16,1,119.26,119.26,1
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,2022-12-19,Oakland,CA,92145,At Risk,,2,191.77,95.88,0
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,2024-11-14,Los Angeles,CA,93663,High Value,2025-10-20,2,187.54,93.77,0
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,2024-07-05,Los Angeles,CA,92342,High Value,2025-11-04,5,413.43,82.69,0
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,2022-03-16,San Diego,CA,92592,Low Value,2025-10-16,3,229.77,76.59,2
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,2021-05-29,Los Angeles,CA,95274,High Value,2025-12-01,2,119.79,59.9,0
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,2025-06-26,San Jose,CA,95771,Medium Value,2025-11-28,5,480.58,96.12,0
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,2021-07-30,Oakland,CA,93183,Medium Value,,3,131.56,43.85,2
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,2022-07-16,Oakland,CA,92151,High Value,2025-10-23,3,197.55,65.85,1
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,2023-12-14,San Francisco,CA,92217,High Value,2025-12-12,4,156.0,39.0,0
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,2025-11-21,San Diego,CA,95762,New Customer,,4,372.19,93.05,1
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,2024-02-15,Anaheim,CA,92807,Low Value,2025-12-23,1,108.06,108.06,0
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,2021-03-02,Bakersfield,CA,95290,Medium Value,2025-11-11,2,104.85,52.42,0
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,2020-07-05,Los Angeles,CA,95952,High Value,2025-10-16,3,237.49,79.16,0
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,2021-05-03,San Jose,CA,91831,Medium Value,2025-10-08,1,113.21,113.21,1
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,2020-09-23,Los Angeles,CA,95143,New Customer,2026-01-02,2,235.2,117.6,0
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,2023-07-19,Oakland,CA,93616,New Customer,,4,297.96,74.49,1
